,sofifaid,Overall
0,158023.0,90.23
1,20801.0,89.38
2,190871.0,89.54
3,200389.0,89.36
4,183277.0,89.8
5,192985.0,89.47
6,192448.0,89.04
7,203376.0,88.41
8,177003.0,88.19
9,209331.0,88.66
10,231747.0,88.06
11,201024.0,87.96
12,202126.0,88.64
13,212831.0,88.07
14,193080.0,88.21
15,215914.0,88.84
16,138956.0,85.67
17,153079.0,88.94
18,155862.0,85.68
19,176580.0,88.43
20,188545.0,89.02
21,189511.0,88.31
22,194765.0,89.42
23,211110.0,88.35
24,195864.0,88.14
25,210257.0,87.38
26,202652.0,88.51
27,190460.0,88.32
28,192119.0,88.4
29,152729.0,86.51
30,162835.0,86.22
31,167495.0,87.27
32,167948.0,87.69
33,168542.0,86.08
34,179813.0,87.88
35,182493.0,85.31
36,182521.0,87.89
37,188350.0,87.31
38,188567.0,87.11
39,208722.0,88.0
40,212218.0,87.13
41,218667.0,88.25
42,200145.0,87.11
43,200104.0,87.6
44,135507.0,84.42
45,164240.0,84.23
46,165153.0,87.78
47,172871.0,85.53
48,175943.0,85.67
49,178603.0,86.32
50,184087.0,85.88
51,189332.0,85.82
52,189509.0,86.76
53,193041.0,86.76
54,198219.0,86.74
55,222492.0,87.78
56,207865.0,86.38
57,232363.0,86.23
58,199556.0,86.41
59,205600.0,87.02
60,186153.0,86.66
61,212622.0,86.28
62,197781.0,86.98
63,201942.0,86.51
64,168651.0,85.91
65,180206.0,85.79
66,183898.0,85.36
67,184344.0,84.98
68,189242.0,86.32
69,189513.0,85.71
70,189596.0,86.71
71,192387.0,87.05
72,193301.0,86.47
73,235243.0,85.84
74,230621.0,85.11
75,228702.0,86.52
76,201535.0,86.49
77,212190.0,86.34
78,223848.0,85.44
79,231866.0,85.5
80,208421.0,85.95
81,209499.0,86.3
82,216267.0,86.28
83,216460.0,86.31
84,220440.0,86.03
85,212198.0,85.67
86,199482.0,85.63
87,185122.0,85.57
88,189117.0,85.43
89,192505.0,86.09
90,192774.0,85.72
91,194404.0,85.72
92,197445.0,85.24
93,201399.0,86.29
94,204963.0,85.16
95,208670.0,85.95
96,41236.0,81.82
97,143076.0,84.78
98,167664.0,85.33
99,170890.0,84.51
100,173731.0,85.31
101,176676.0,84.38
102,177413.0,84.58
103,191043.0,84.7
104,192629.0,84.82
105,193747.0,85.21
106,198710.0,85.3
107,199914.0,85.4
108,233049.0,85.31
109,235790.0,85.42
110,231443.0,84.75
111,206585.0,83.27
112,210514.0,84.36
113,211117.0,84.53
114,220814.0,84.7
115,230658.0,84.56
116,202556.0,84.21
117,209658.0,84.49
118,212194.0,84.21
119,213345.0,84.12
120,206113.0,84.2
121,216594.0,84.46
122,192563.0,83.53
123,198706.0,84.37
124,212462.0,83.48
