,Name,Actual_Postion,Predicted_Postion
0,L. Messi,RW,CF
1,Cristiano Ronaldo,ST,ST
2,Neymar Jr,LW,LM
3,J. Oblak,GK,GK
4,E. Hazard,LW,CAM
5,K. De Bruyne,CAM,LM
6,M. ter Stegen,GK,GK
7,V. van Dijk,CB,CB
8,L. Modrić,CM,CAM
9,M. Salah,RW,ST
10,K. Mbappé,ST,ST
11,K. Koulibaly,CB,CB
12,H. Kane,ST,ST
13,Alisson,GK,GK
14,De Gea,GK,GK
15,N. Kanté,CDM,CDM
16,G. Chiellini,CB,CB
17,S. Agüero,ST,ST
18,Sergio Ramos,CB,CB
19,L. Suárez,ST,ST
20,R. Lewandowski,ST,ST
21,Sergio Busquets,CDM,CDM
22,A. Griezmann,CF,ST
23,P. Dybala,CAM,CAM
24,P. Pogba,CM,CAM
25,Ederson,GK,GK
26,R. Sterling,RW,RM
27,C. Eriksen,CAM,CAM
28,T. Courtois,GK,GK
29,Piqué,CB,CB
30,S. Handanovič,GK,GK
31,M. Neuer,GK,GK
32,H. Lloris,GK,GK
33,David Silva,CAM,CAM
34,E. Cavani,ST,ST
35,D. Godín,CB,CB
36,T. Kroos,CM,CAM
37,M. Reus,CAM,LM
38,P. Aubameyang,ST,ST
39,S. Mané,LW,ST
40,A. Laporte,CB,CB
41,Bernardo Silva,RW,LM
42,Casemiro,CDM,CB
43,H. Son,CF,LM
44,Fernandinho,CDM,CDM
45,Thiago Silva,CB,CB
46,K. Benzema,CF,ST
47,J. Vertonghen,CB,CB
48,D. Mertens,CF,LM
49,M. Hummels,CB,CB
50,T. Alderweireld,CB,CB
51,Jordi Alba,LB,RB
52,Thiago,CM,CAM
53,K. Navas,GK,GK
54,L. Insigne,CF,LW
55,L. Sané,LW,RM
56,Marquinhos,CB,CB
57,M. Škriniar,CB,CB
58,M. Verratti,CM,CDM
59,S. Umtiti,CB,CB
60,W. Szczęsny,GK,GK
61,J. Kimmich,RB,RB
62,Isco,CAM,CAM
63,Roberto Firmino,CF,ST
64,I. Rakitić,CM,CDM
65,M. Pjanić,CM,CDM
66,A. Di María,RW,RM
67,L. Bonucci,CB,CB
68,Coutinho,LW,CAM
69,Parejo,CM,CAM
70,T. Müller,CAM,ST
71,C. Immobile,ST,ST
72,A. Lacazette,ST,ST
73,M. de Ligt,CB,CB
74,G. Donnarumma,GK,GK
75,F. de Jong,CM,CDM
76,R. Varane,CB,CB
77,N. Süle,CB,CB
78,S. Milinković-Savić,CM,CB
79,Rodri,CDM,CDM
80,Saúl,CM,CB
81,Fabinho,CDM,CDM
82,A. Robertson,LB,LB
83,J. Giménez,CB,CB
84,C. Lenglet,CB,CB
85,Bruno Fernandes,CAM,CAM
86,A. Lopes,GK,GK
87,P. Gulácsi,GK,GK
88,R. Bürki,GK,GK
89,R. Lukaku,ST,ST
90,K. Manolas,CB,CB
91,Neto,GK,GK
92,D. Alaba,LB,RB
93,M. Icardi,ST,ST
94,Carvajal,RB,RB
95,H. Ziyech,CAM,RM
96,Z. Ibrahimović,ST,ST
97,A. Gómez,CAM,LM
98,G. Higuaín,ST,ST
99,B. Matuidi,CDM,CB
100,G. Bale,RW,ST
101,Marcelo,LB,RB
102,A. Witsel,CDM,CDM
103,Alex Sandro,LB,RB
104,Iago Aspas,ST,ST
105,Koke,RM,CM
106,J. Rodríguez,CAM,CAM
107,Allan,CM,CDM
108,J. Sancho,RM,LM
109,K. Havertz,CAM,CAM
110,O. Dembélé,RW,LM
111,Kepa,GK,GK
112,João Cancelo,RB,LB
113,D. Alli,CAM,ST
114,L. Hernández,CB,RB
115,Arthur,CM,CDM
116,M. Depay,CF,LM
117,L. Goretzka,CM,CB
118,J. Brandt,CAM,CAM
119,K. Coman,LM,LM
120,S. Gnabry,RM,LM
121,N. Fekir,CAM,LM
122,B. Leno,GK,GK
123,Luis Alberto,CAM,CAM
124,Alex Telles,LB,LB
125,J. Pavlenka,GK,GK
126,S. de Vrij,CB,CB
127,Felipe Anderson,LM,LM
128,Pepe,CB,CB
129,João Moutinho,CM,CAM
130,S. Ruffier,GK,GK
131,S. Sirigu,GK,GK
132,M. Hamšík,CM,CM
133,Sokratis,CB,CB
134,Lucas Leiva,CDM,CDM
135,M. Özil,CAM,CAM
136,Javi Martínez,CDM,CB
137,Y. Sommer,GK,GK
138,E. Džeko,ST,ST
139,G. Wijnaldum,CM,CDM
140,I. Perišić,LM,LM
141,M. Mandžukić,ST,ST
142,A. Vidal,CM,CDM
143,J. Boateng,CB,CB
144,Azpilicueta,RB,CB
145,José Callejón,RM,LW
146,I. Gündoğan,CM,CM
147,Paulinho,CM,CDM
148,K. Walker,RB,LB
149,Canales,CAM,CAM
150,Douglas Costa,LM,LM
151,Pizzi,RM,CAM
152,D. Tadić,CAM,CAM
