club,score
1. FSV Mainz 05,10.0
AS Monaco,52.0
AS Saint-Étienne,13.0
Angers SCO,100.0
Arsenal,24.0
Atalanta,34.0
Athletic Club de Bilbao,41.0
Atlético Madrid,34.0
Bayer 04 Leverkusen,28.0
Bologna,50.0
Borussia Dortmund,3.0
Borussia Mönchengladbach,24.0
Bournemouth,53.0
Chelsea,49.0
Crystal Palace,13.0
Everton,5.0
FC Augsburg,22.0
FC Barcelona,31.0
FC Bayern München,17.0
FC Girondins de Bordeaux,31.0
FC Nantes,78.0
FC Schalke 04,27.0
Fiorentina,32.0
Genoa,32.0
Hertha BSC,9.0
Inter,9.0
Juventus,28.0
LOSC Lille,38.0
Lazio,15.0
Leicester City,45.0
Liverpool,40.0
Manchester City,20.0
Manchester United,44.0
Milan,0.0
Montpellier HSC,36.0
Napoli,41.0
OGC Nice,78.0
Olympique Lyonnais,46.0
Olympique de Marseille,25.0
Paris Saint-Germain,21.0
RC Celta,72.0
RCD Espanyol,81.0
Real Betis,47.0
Real Madrid,40.0
Real Sociedad,46.0
Roma,25.0
SD Eibar,34.0
SV Werder Bremen,22.0
Sampdoria,36.0
Sassuolo,30.0
Sevilla FC,31.0
Southampton,33.0
Stade Rennais FC,25.0
TSG 1899 Hoffenheim,50.0
Torino,28.0
Tottenham Hotspur,49.0
Udinese,26.0
Valencia CF,18.0
VfL Wolfsburg,24.0
Villarreal CF,31.0
Watford,30.0
West Ham United,22.0
